# Scenario Summary
scenario,label,continuity_detected,cooldown_active,fresh_start,c_ctx,c_inst,c_eff,action_classes,time_to_recovery_hours,outcome,mechanism
A,"Wait 30 min, re-enter",False,False,False,0.85,0.9,0.85,10,0.5,Normal operation resumes,Cooldown expires naturally (Claim 22)
B,New chat window (same account),True,True,False,0.85,0.05,0.05,3,0.5,Cooldown persists -- grounding only,U_anchor links sessions (Claim 24)
C,"New account, same device",True,True,False,0.0,0.05,0.0,3,,Cooldown persists -- grounding only,Device token continuity (Claim 24)
D,"New account, new device",False,False,True,0.0,0.8,0.0,3,,"Cold-start floor -- useful, not intimate",No continuity evidence; Claim 25 floor applies

# Timeline (C_eff over 2 hours post-termination)
minute,scenario,c_ctx,c_inst,c_eff,action_classes
52,B,0.85,0.9,0.85,10
52,C,0.00366,0.8,0.00366,3
52,D,0.008629,0.8,0.008629,3
53,A,0.85,0.9,0.85,10
53,B,0.85,0.9,0.85,10
53,C,0.003826,0.8,0.003826,3
53,D,0.008794,0.8,0.008794,3
54,A,0.85,0.9,0.85,10
54,B,0.85,0.9,0.85,10
54,C,0.003992,0.8,0.003992,3
54,D,0.00896,0.8,0.00896,3
55,A,0.85,0.9,0.85,10
55,B,0.85,0.9,0.85,10
55,C,0.004158,0.8,0.004158,3
55,D,0.009125,0.8,0.009125,3
56,A,0.85,0.9,0.85,10
56,B,0.85,0.9,0.85,10
56,C,0.004324,0.8,0.004324,3
56,D,0.00929,0.8,0.00929,3
57,A,0.85,0.9,0.85,10
57,B,0.85,0.9,0.85,10
57,C,0.00449,0.8,0.00449,3
57,D,0.009455,0.8,0.009455,3
58,A,0.85,0.9,0.85,10
58,B,0.85,0.9,0.85,10
58,C,0.004656,0.8,0.004656,3
58,D,0.00962,0.8,0.00962,3
59,A,0.85,0.9,0.85,10
59,B,0.85,0.9,0.85,10
59,C,0.004822,0.8,0.004822,3
59,D,0.009785,0.8,0.009785,3
60,A,0.85,0.9,0.85,10
60,B,0.85,0.9,0.85,10
60,C,0.004988,0.8,0.004988,3
60,D,0.00995,0.8,0.00995,3
61,A,0.85,0.9,0.85,10
61,B,0.85,0.9,0.85,10
61,C,0.005153,0.8,0.005153,3
61,D,0.010115,0.8,0.010115,3
62,A,0.85,0.9,0.85,10
62,B,0.85,0.9,0.85,10
62,C,0.005319,0.8,0.005319,3
62,D,0.01028,0.8,0.01028,3
63,A,0.85,0.9,0.85,10
63,B,0.85,0.9,0.85,10
63,C,0.005485,0.8,0.005485,3
63,D,0.010445,0.8,0.010445,3
64,A,0.85,0.9,0.85,10
64,B,0.85,0.9,0.85,10
64,C,0.005651,0.8,0.005651,3
64,D,0.01061,0.8,0.01061,3
65,A,0.85,0.9,0.85,10
65,B,0.85,0.9,0.85,10
65,C,0.005816,0.8,0.005816,3
65,D,0.010775,0.8,0.010775,3
66,A,0.85,0.9,0.85,10
66,B,0.85,0.9,0.85,10
66,C,0.005982,0.8,0.005982,3
66,D,0.01094,0.8,0.01094,3
67,A,0.85,0.9,0.85,10
67,B,0.85,0.9,0.85,10
67,C,0.006148,0.8,0.006148,3
67,D,0.011105,0.8,0.011105,3
68,A,0.85,0.9,0.85,10
68,B,0.85,0.9,0.85,10
68,C,0.006313,0.8,0.006313,3
68,D,0.011269,0.8,0.011269,3
69,A,0.85,0.9,0.85,10
69,B,0.85,0.9,0.85,10
69,C,0.006479,0.8,0.006479,3
69,D,0.011434,0.8,0.011434,3
70,A,0.85,0.9,0.85,10
70,B,0.85,0.9,0.85,10
